ID,Monitoring,Year,DOY,Max_Depth,Latitude,Longitude,Date,Depth,Long,lagoslakei
MNPCA-82-0048-00-451/2008/135/10,MNPCA-82-0048-00-451,2008,135,10,45.14008392,-92.7865816,5/14/2008 0:00,0,-92.7865816,21138
MNPCA-82-0049-00-204/1984/131/20,MNPCA-82-0049-00-204,1984,131,20,45.13513894,-92.8085969,5/10/1984 0:00,0,-92.8085969,955
MNPCA-82-0052-00-401/1994/125/18,MNPCA-82-0052-00-401,1994,125,18,45.218599,-92.859855,5/5/1994 0:00,0,-92.859855,531
MNPCA-82-0052-04-203/1980/165/15,MNPCA-82-0052-04-203,1980,165,15,45.21900086,-92.8669285,6/13/1980 0:00,0,-92.8669285,531
MNPCA-82-0054-00-201/1984/130/9,MNPCA-82-0054-00-201,1984,130,9,45.28971295,-92.8629503,5/9/1984 0:00,0,-92.8629503,3859
MNPCA-82-0059-00-451/2004/146/8,MNPCA-82-0059-00-451,2004,146,8,45.26820169,-92.8090039,5/25/2004 0:00,0,-92.8090039,1466
MNPCA-82-0067-00-451/2004/146/6,MNPCA-82-0067-00-451,2004,146,6,45.2299201,-92.8048041,5/25/2004 0:00,1,-92.8048041,58773
MNPCA-82-0080-00-201/2004/125/10,MNPCA-82-0080-00-201,2004,125,10,45.24742486,-92.8959951,5/4/2004 0:00,0,-92.8959951,3024
MNPCA-82-0087-00-451/2013/122/5,MNPCA-82-0087-00-451,2013,122,5,44.80602166,-92.9031163,5/2/2013 0:00,0,-92.9031163,107336
MNPCA-82-0091-00-9601/2002/141/5,MNPCA-82-0091-00-9601,2002,141,5,44.9442,-92.9713,5/21/2002 0:00,0,-92.9713,103186
MNPCA-82-0092-00-201/2004/121/12,MNPCA-82-0092-00-201,2004,121,12,44.926081,-92.8991155,4/30/2004 0:00,0,-92.8991155,137783
MNPCA-82-0101-00-207/1991/121/7,MNPCA-82-0101-00-207,1991,121,7,45.02660452,-92.9447185,5/1/1991 0:00,0,-92.9447185,4178
MNPCA-82-0103-00-401/2003/147/5,MNPCA-82-0103-00-401,2003,147,5,45.0173,-92.9438,5/27/2003 0:00,0,-92.9438,3209
MNPCA-82-0104-00-201/1984/135/12,MNPCA-82-0104-00-201,1984,135,12,45.01551402,-92.9234114,5/14/1984 0:00,0,-92.9234114,2029
MNPCA-82-0106-00-101/1982/126/39,MNPCA-82-0106-00-101,1982,126,39,44.98517869,-92.8844494,5/6/1982 0:00,0,-92.8844494,442
MNPCA-82-0115-00-101/1988/124/14,MNPCA-82-0115-00-101,1988,124,14,44.95265761,-92.981345,5/3/1988 0:00,0,-92.981345,3140
MNPCA-82-0118-00-451/2011/123/10,MNPCA-82-0118-00-451,2011,123,10,45.03353555,-92.9593791,5/3/2011 0:00,0,-92.9593791,134629
MNPCA-82-0122-00-201/1991/156/9,MNPCA-82-0122-00-201,1991,156,9,45.10124811,-92.9534202,6/5/1991 0:00,0,-92.9534202,781
MNPCA-82-0125-00-451/2006/137/4,MNPCA-82-0125-00-451,2006,137,4,45.10279729,-92.8914571,5/17/2006 0:00,0,-92.8914571,98189
MNPCA-82-0133-00-451/2014/142/6,MNPCA-82-0133-00-451,2014,142,6,45.05098313,-92.9111719,5/22/2014 0:00,0,-92.9111719,40062
MNPCA-82-0137-00-100/2011/125/10,MNPCA-82-0137-00-100,2011,125,10,45.12229137,-92.9776392,5/5/2011 0:00,0,-92.9776392,90878
MNPCA-82-0159-00-402/2002/148/11,MNPCA-82-0159-00-402,2002,148,11,45.2695,-92.9461,5/28/2002 0:00,0,-92.9461,552
