"","site_id","parameter","z_score","p_value","L95","U95","Sensslope"
"30","nhdhr_{21D3A37A-951D-4F94-ADA3-D8823DAECCE9}","df2$mean_surf_aug",2.7743716692582,0.00553084503684603,0.0173311775254045,0.0737056174522797,0.0488150783040696
"31","nhdhr_{244b7c49-b604-45fa-950a-7924b157370d}","df2$mean_surf_aug",0.73694247464671,0.461157332676863,-0.0181977912893085,0.0392837703214802,0.00667368614154068
"32","nhdhr_{251FD68D-76A2-4BA6-B5DC-6B3BCD6FEEDF}","df2$mean_surf_aug",0.563544245318073,0.573064340385718,-0.0277791826083746,0.0353415033951467,0.0079687248365779
"33","nhdhr_{281D28BC-5CA5-4391-A17C-04CF0EF71935}","df2$mean_surf_aug",0.455170351987674,0.648986688212116,-0.0222818035304068,0.0373633749789695,0.00759317369676893
"34","nhdhr_{28DEBA72-229A-4E85-8BDB-06869B562F8E}","df2$mean_surf_aug",0.346796458657275,0.728744237806251,-0.0265704777243671,0.0355689001762434,0.00378032019559349
"35","nhdhr_{28f2e7d4-ede1-46f3-9913-e7de0c9e1008}","df2$mean_surf_aug",0.75861725331279,0.448081548716583,-0.0219531838967915,0.040372703929682,0.0124693995165746
"36","nhdhr_{2A4767FD-52D8-4A44-8602-9513A8B4097E}","df2$mean_surf_aug",0.151723450662558,0.879405060346173,-0.0255110583308809,0.0288131036577342,0.00216826402117409
"37","nhdhr_{2B0E3504-D6DF-4C31-8F6C-6FC83A3ACE48}","df2$mean_surf_aug",-0.715267695980631,0.474443645663258,-0.0332776666731565,0.0167630745041272,-0.00794955735977708
"38","nhdhr_{2B16E533-E2CF-49F4-A1BE-CD65378EDEB4}","df2$mean_surf_aug",0.585219023984152,0.55840045476356,-0.0246520552242759,0.0365368110639458,0.00809166603486612
"39","nhdhr_{2BB8401C-3C56-4F1F-8B90-0B76836D183B}","df2$mean_surf_aug",0.606893802650232,0.543921391192374,-0.023809238755083,0.0389981306265637,0.00939208655255879
"40","nhdhr_{2D616E50-968C-49A6-90A1-D860FF7B2408}","df2$mean_surf_aug",0.80196681064495,0.422572157072442,-0.0215386508608281,0.0496252562561157,0.0135270610965944
"41","nhdhr_{2F5FAE4A-4A83-4FB0-B68D-E0740E1D19F0}","df2$mean_surf_aug",1.56058406395774,0.118621921222606,-0.00644369662017447,0.059710134711798,0.0229065803206955
"42","nhdhr_{2FA9EC6F-4AA9-4F1F-89D0-D55A623D0087}","df2$mean_surf_aug",1.04038937597183,0.298159035545812,-0.0165187954936297,0.0496274438443468,0.0196492025279473
"43","nhdhr_{2FC84796-74FC-48D4-939A-6F1DD54C30AA}","df2$mean_surf_aug",-0.650243359982392,0.515535036950134,-0.0356802855257609,0.0182927404290322,-0.005259992891761
"44","nhdhr_{32E8B07B-1623-4A70-975A-4E126019059F}","df2$mean_surf_aug",1.4955597279595,0.13476842433139,-0.00670860660012451,0.0580366434993934,0.0242735728937733
"45","nhdhr_{34AD3558-83A8-4B48-B178-6CB5805C2C24}","df2$mean_surf_aug",1.2788119412987,0.200963287814266,-0.0104593424172359,0.0551258059789794,0.0201752015830589
"46","nhdhr_{34C90CE4-F2EB-4622-B846-6235E3E866FA}","df2$mean_surf_aug",0.173398229328638,0.862338416815853,-0.0297229033724666,0.0345268550303132,0.0041865871496567
"47","nhdhr_{36B3DE9F-A764-400C-8B2F-6A203BBB2D46}","df2$mean_surf_aug",1.45221017062734,0.146443175572784,-0.00632510954573514,0.0626116611998456,0.0275288072309618
"48","nhdhr_{38627CA7-4D8D-46E9-85B3-9BD2F4416354}","df2$mean_surf_aug",0.498519909319834,0.618117640013501,-0.0267972906482331,0.0367902244798245,0.00912005400860032
"49","nhdhr_{391CE842-589C-41BA-BFDF-C3157C857D2E}","df2$mean_surf_aug",0.130048671996478,0.896527918948299,-0.0314898451327847,0.0335316843521456,0.00123502991234502
"50","nhdhr_{394AFB10-39A1-488C-8638-A0EEC17BEB97}","df2$mean_surf_aug",1.56058406395774,0.118621921222606,-0.00629735644266347,0.0561510962251789,0.0278913344432507
"51","nhdhr_{3C3B27D0-746F-47B2-A225-BF01275283B2}","df2$mean_surf_aug",2.7743716692582,0.00553084503684603,0.0155110188139009,0.0722142642838142,0.0459941292881076
"52","nhdhr_{3D7EA66A-65E1-4B58-B79C-38CC8614F139}","df2$mean_surf_aug",1.21378760530046,0.224828840615702,-0.0139773820399898,0.0521652466351381,0.0183144894289601
"53","nhdhr_{3E3B901F-B5D8-4CD8-8C9C-94C9BF874A7B}","df2$mean_surf_aug",1.45221017062734,0.146443175572784,-0.011934888642256,0.0530188497031174,0.021541591283808
"54","nhdhr_{3F3FD6EB-CA0C-4D2A-962E-88D1E2785F8C}","df2$mean_surf_aug",1.32216149863086,0.186114378719154,-0.0124493080655501,0.0489737246948956,0.0211994768056138
"55","nhdhr_{40D5B403-B7A5-4F23-9498-016F1B51AD1C}","df2$mean_surf_aug",1.30048671996478,0.193434204912068,-0.00973325500676552,0.050376258558919,0.0206350356928226
